subject_gait,take_id,mpjpe_3d,mpjpe_raw,dtw_3d_traj,mpjre,dtw_6d_transl,mpjpe_6d,jitter_c1,jitter_c2,pampjpe_3d,pampjpe_6d,action
gait_011,20251107_c1_a1_Take1,0.09754808391520142,0.09236985106318264,0.048421800813842106,0.10387727288391062,0.03896201637974604,0.07632281776609179,606.5318603515625,470.0551452636719,0.03167495404334287,0.023463496452049665,a1
gait_011,20251107_c1_a1_Take2,0.16863292118404305,0.15911707533522443,0.09656536947255065,0.10889708993501503,0.10829062527188985,0.13356648543435334,614.4688110351562,384.4649963378906,0.0427586603993014,0.0322697094383846,a1
gait_011,20251107_c1_a2_Take1,0.2658667307652258,0.24868804356165733,0.055021847802434645,0.14442541026275574,0.055231832443343946,0.19513647854847666,712.1702270507812,535.71630859375,0.07626359565926137,0.05431181531708092,a2
gait_011,20251107_c1_a2_Take2,0.38964505963165125,0.3677590755436607,0.11512837872739433,0.1674892929203527,0.11134815793488616,0.32436464015134503,662.9447021484375,516.9721069335938,0.09684422218235181,0.0721153449500214,a2
gait_011,20251107_c1_a3_Take1,0.23035473186926142,0.21732138821751873,0.12568796408373292,0.18424660529699755,0.12372365657097355,0.19124390692146076,509.5675354003906,376.815185546875,0.07744893080104258,0.057188062415159106,a3
gait_011,20251107_c1_a3_Take2,0.09021474650496086,0.08601384363157931,0.028463424761729885,0.10084739572626292,0.027945984643631273,0.08732528625088287,515.8442993164062,381.0232238769531,0.031654169533178414,0.02487033795741406,a3
gait_011,20251107_c1_a3_Take3,0.1974129810650761,0.18864613174027484,0.07120290189716919,0.1483031446883887,0.07483462136981216,0.16680252792950945,452.2911682128906,349.11468505859375,0.0633633194118533,0.04767484133032827,a3
gait_011,20251107_c1_a4_Take1,0.20849277120219137,0.19464833469516168,0.05661113662830899,0.2234877489645899,0.06150671122507389,0.14789385185905596,476.8338928222656,372.8955993652344,0.07372759992965373,0.05906507554640556,a4
gait_011,20251107_c1_a4_Take2,0.1503667498648873,0.14121512234393985,0.03181657878516047,0.1427150379183333,0.030153221850307017,0.11597812913725487,475.3021240234375,409.77093505859375,0.048678936520451126,0.03859003296029904,a4
gait_011,20251107_c1_a5_Take1,0.14436976248482966,0.13688835316497602,0.17737327853995913,0.19516130881598737,0.1829650309744448,0.12715417424652112,381.09649658203125,361.417724609375,0.06664023192520169,0.056569707457110964,a5
gait_011,20251107_c1_a5_Take2,0.1466439638274458,0.13936320039930783,0.16642167431154306,0.19577266610254052,0.14457353279387786,0.12839378747148536,454.355224609375,433.2641906738281,0.07819932730201744,0.061281246830684054,a5
gait_052,20250912_c1_a1_Take1,0.19445613433740175,0.1844083707625616,0.07938040146646179,0.17565405097639034,0.07885067837495355,0.16628195774419308,293.55072021484375,356.5904541015625,0.04634128084670408,0.03775501338728091,a1
gait_052,20250912_c1_a1_Take2,0.14663770304320672,0.1371008675690579,0.08202938024888358,0.13122271129133609,0.08300724936826942,0.10840107453576649,318.4510192871094,338.38531494140625,0.03304511877097561,0.02661133892853661,a1
gait_052,20250912_c1_a1_Take3,0.059269265594106425,0.056014984826107984,0.02943870252000409,0.13759965877602665,0.030728987720335648,0.054392974948119524,376.8634948730469,479.8182067871094,0.03113343068225001,0.02545975375412061,a1
gait_052,20250912_c1_a2_Take1,0.16499242917125478,0.15433615135719192,0.039234041855316024,0.15221316873264334,0.038341711437276396,0.1185967181340632,355.535400390625,410.1132507324219,0.0575612061645784,0.04116920740446612,a2
gait_052,20250912_c1_a2_Take2,0.13158896222067393,0.12535871790507824,0.0687449865253155,0.13320145306550088,0.06326468001647081,0.12164386024066294,328.5458984375,419.8403625488281,0.039137781515095095,0.026907007178163286,a2
